@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1,9-10'

@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.26,0.29,16.95,0.056,48,179,0.9998,9.6,5
0.61,0.26,1.7,0.051,25,161,0.9946,10.6,4
0.2,0.3,6.1,0.037,31,120,0.9939,10.8,5
0.18,0.37,3,0.061,25,178,0.995,10,6
0.34,0.27,6.2,0.059,23,136,0.9957,10.1,6
0.27,0.32,1.5,0.044,19,142,0.9921,9.9,6
0.2,0.33,1.7,0.05,28,178,0.9954,9,4
0.23,0.27,1.8,0.043,24,69,0.9933,9.4,6
0.2,0.39,2.6,0.044,30,180,0.9941,10.8,7
0.18,0.34,1.6,0.04,43,148,0.9912,11.5,8
0.17,0.22,4.6,0.064,55,152,0.9952,9.3,6
0.3,0.32,6.4,0.034,28,97,0.9924,11.8,6
0.445,0.44,14.5,0.045,68,212,0.9986,10,6
0.22,0.33,6.7,0.036,45,138,0.9939,11.4,6
0.23,0.3,1.1,0.031,40,99,0.9929,10.4,6
0.34,0.46,13.8,0.055,68,198,0.9988,9.5,6
0.545,0.04,2.5,0.031,48,111,0.9906,11.9,5
0.3,0.31,1.1,0.041,49,123,0.9914,11.1,6
0.32,0.36,4.6,0.042,56,178,0.9928,12,6
0.22,0.23,3.1,0.052,15,104,0.9948,8.7,5
0.15,0.38,1.8,0.054,19,101,0.9946,10,5
0.29,0.29,1.05,0.032,4,55,0.9908,11.4,4
0.3,0.36,10,0.042,33,169,0.9982,9.3,6
0.22,0.58,1.1,0.133,52,136,0.9932,9.1,5
0.22,0.29,4.8,0.05,33,87,0.994,9.9,5
0.3,0.36,10,0.042,33,169,0.9982,9.3,6
0.27,0.24,1.2,0.044,20,102,0.9929,10.9,5
0.17,0.27,1.5,0.056,45,135,0.9924,10.2,6
0.18,0.3,10.4,0.045,44,174,0.9966,9.7,6
0.16,0.28,2.5,0.046,40,153,0.9921,11.4,7
0.255,0.44,12.3,0.045,53,197,0.9967,9.5,6
0.23,0.25,1.4,0.049,43,141,0.9934,10.2,7
0.16,0.28,2.2,0.042,33,93,0.9914,11.1,6
0.21,0.28,1.2,0.038,12,53,0.9926,10.6,5
0.62,0.2,8.7,0.046,81,224,0.99605,9.3,5
0.28,0.19,5.4,0.042,67,181,0.99435,10.2,6
0.3,0.28,5.7,0.044,31,124,0.9948,10.2,6
0.21,0.3,10.9,0.037,18,112,0.997,9.6,6
0.29,0.23,8.6,0.056,56,215,0.9967,8.8,5
0.32,0.26,7.7,0.054,56,209,0.9961,8.8,5
0.32,0.22,1.7,0.051,50,179,0.9955,8.9,5
0.37,0.07,1.4,0.048,58,144,0.9922,10,5
0.43,0.28,4.5,0.046,33,102,0.9918,12.2,7
0.39,0.26,9.9,0.059,33,181,0.9955,10.9,6
0.18,0.26,1.4,0.041,40,141,0.9941,9.5,6
0.39,0.26,9.9,0.059,33,181,0.9955,10.9,6
0.19,0.28,3,0.054,33,99,0.9924,10.8,6
0.49,1,19.6,0.03,28,135,0.9973,12,6
0.25,0.35,14,0.069,42,163,0.999,9.8,5
0.17,0.31,5.4,0.052,47,150,0.9953,9.8,5
0.32,0.37,1.8,0.051,13,200,0.9945,10.5,4
0.21,0.26,9.25,0.034,73,142,0.9945,11.4,6
0.45,0.4,1.5,0.067,17,100,0.9957,10.1,6
0.26,0.3,2.1,0.033,50,158,0.9909,12.1,7
0.36,0.29,7.6,0.035,37,122,0.9939,12,5
0.16,0.3,1.4,0.042,26,176,0.9954,9.1,5
0.33,0.24,1.6,0.054,25,117,0.9943,9.3,5
0.22,0.36,1.4,0.056,21,153,0.993,10.4,6
0.35,0.31,17.95,0.062,42,187,1.0002,9.1,5
0.37,0.24,2,0.064,23,120,0.9946,9.4,5
0.37,0.41,6.3,0.061,22,149,0.9953,9.6,6
0.25,0.27,9.05,0.039,37,128,0.9936,11.3,8
0.26,0.21,7.1,0.04,35,162,0.9956,9.9,6
0.3,0.22,10.2,0.049,57,191,0.9966,9.3,6
0.23,0.29,15.4,0.073,56,173,0.9984,8.7,6
0.26,0.21,7.1,0.04,35,162,0.9956,9.9,6
0.3,0.22,10.2,0.049,57,191,0.9966,9.3,6
0.33,0.39,12.4,0.065,29,119,0.9974,9.4,5
0.38,0.2,3.4,0.046,9,116,0.9944,9.4,5
0.2,0.43,15,0.053,60,184,1.0008,8.8,6
0.33,0.39,12.4,0.065,29,119,0.9974,9.4,5
0.2,0.43,15,0.053,60,184,1.0008,8.8,6
0.36,0.21,1.5,0.049,39,184,0.9928,9.9,6
0.38,0.2,3.4,0.046,9,116,0.9944,9.4,5
0.46,0.24,4.8,0.042,24,72,0.9908,12.6,6
0.15,0.38,1.2,0.038,18,110,0.9917,11.1,6
0.42,0.29,4.1,0.03,31,100,0.9911,12.8,7
0.27,0.3,13.9,0.029,34,131,0.9953,12,7
0.5,0,0.8,0.034,46,114,0.9932,9.2,4
0.26,0.29,1,0.032,27,96,0.9896,12.3,6
0.33,0.28,1.2,0.032,38,131,0.9889,13,6
0.3,0.35,2.8,0.038,10,164,0.9912,12,6
0.29,0.31,1.7,0.035,23,110,0.9926,10.9,5
0.42,0.29,4.1,0.03,31,100,0.9911,12.8,7
0.19,0.24,6.3,0.054,34,231,0.9964,10,6
0.32,0.12,11.5,0.033,35,165,0.9974,9,5
0.32,0.4,1.5,0.034,13,84,0.9944,10.4,5
0.19,0.24,6.3,0.054,34,231,0.9964,10,6
0.44,0.24,11.2,0.031,41,167,0.9948,11.3,7
0.44,0.24,11.2,0.031,41,167,0.9948,11.3,7
0.49,0.24,15.1,0.03,34,153,0.9953,12,7
0.49,0.24,15.1,0.03,34,153,0.9953,12,7
0.21,0.3,5.6,0.044,43,160,0.9949,10.6,6
0.55,0.42,12.6,0.211,37,213,0.9988,9.3,5
0.24,0.29,2.2,0.037,37,102,0.992,11,7
0.34,0.36,11,0.052,53,247,0.9984,9.3,6
0.19,0.23,5.7,0.123,27,104,0.9954,9.4,6
0.24,0.29,2.2,0.037,37,102,0.992,11,7
0.34,0.46,4.7,0.029,21,94,0.991,12.3,6
0.44,0.2,11.5,0.049,44,157,0.998,9,5
0.26,0.58,7.9,0.041,62,180,0.9966,9,5
0.44,0.2,11.5,0.049,44,157,0.998,9,5
0.25,0.25,1.6,0.046,50,181,0.9925,11,7
0.34,0.46,4.7,0.029,21,94,0.991,12.3,6
0.18,0.31,1.6,0.049,36,127,0.9934,10.4,7
0.27,0.39,2.4,0.058,16,107,0.9955,10.3,5
0.22,0.28,14,0.053,83,197,0.9981,9.8,6
0.91,0.42,1.6,0.056,34,181,0.9968,10,4
0.34,0.34,1.6,0.056,13,176,0.9946,9.7,5
0.33,0.34,1.4,0.056,14,171,0.9946,9.7,5
0.22,0.28,14,0.053,83,197,0.9981,9.8,6
0.2,0.28,10.2,0.054,78,186,0.997,10,6
0.28,0.3,7.8,0.049,57,202,0.9958,9.5,5
0.25,0.3,2.4,0.042,25,122,0.994,10.5,6
0.36,0.44,8.3,0.255,28,142,0.9958,10.2,6
0.27,0.25,13.9,0.05,45,199,0.9984,9.8,6
0.37,0.28,13.8,0.031,34,137,0.9948,11.6,6
0.19,0.21,1.8,0.049,35,163,0.9924,10.3,6
0.33,0.2,16.05,0.047,26,166,0.9976,8.9,5
0.2,0.36,1.2,0.032,21,78,0.9921,10.4,6
0.25,0.26,14,0.043,41,248,0.9986,8.7,6
0.3,0.42,14.3,0.045,45,213,0.9991,9.2,5
0.3,0.42,14.3,0.045,45,213,0.9991,9.2,5
0.3,0.42,14.3,0.045,45,213,0.9991,9.2,5
0.22,0.32,7.9,0.029,34,124,0.9948,10.2,5
0.53,0.02,1,0.036,39,107,0.993,9,5
0.24,0.41,13.6,0.05,41,178,0.9988,9.7,5
0.15,0.4,1.3,0.036,24,112,0.9932,10,5
0.33,0.41,13.7,0.045,44,197,0.9989,9.1,5
0.24,0.31,18.3,0.046,40,142,1,8.7,5
0.24,0.31,18.3,0.046,40,142,1,8.7,5
0.35,0.44,6.5,0.056,31,161,0.9952,9.5,5
0.29,0.67,8.1,0.037,53,166,0.9966,8.9,6
0.31,0.41,8.6,0.053,15,89,0.9976,9.9,6
0.44,0.31,1.9,0.03,41,104,0.99,12.6,7
0.23,0.27,14.1,0.033,45,166,0.9988,9.7,6
0.21,0.3,7.9,0.039,14,118,0.9942,10.4,5
0.34,0.27,1.2,0.04,25,106,0.9932,10.4,5
0.26,0.33,10.3,0.039,73,212,0.9969,9.5,6
0.29,0.67,8.1,0.037,53,166,0.9966,8.9,6
0.37,0.3,2.7,0.029,64,158,0.9916,12,7
0.36,0.36,5.7,0.038,26,98,0.9914,12.5,7
0.13,0.34,9.3,0.062,40,126,0.9966,9.6,5
0.3,0.27,8.5,0.036,20,112,0.9939,11.7,6
0.23,0.3,2.1,0.049,21,153,0.9953,9.6,6
0.43,0.3,3.5,0.033,27,135,0.9906,12,6
0.36,0.36,5.7,0.038,26,98,0.9914,12.5,7
0.18,0.26,1.3,0.041,20,71,0.9926,9.9,6
0.22,0.5,13.7,0.049,56,189,0.9994,9,6
0.26,0.33,11.1,0.052,52.5,158,0.9976,10.2,7
0.13,0.34,9.3,0.062,40,126,0.9966,9.6,5
0.12,0.19,4.9,0.055,27,127,0.9953,9.4,5
0.37,0.27,1.7,0.028,10,59,0.9923,10.4,5
0.26,0.36,1.6,0.032,6,106,0.993,10.4,4
0.2,0.58,1.4,0.204,15,97,0.9931,10,6
0.22,0.57,1.4,0.208,14,96,0.9932,10,6
0.25,0.28,1.6,0.052,46,169,0.9926,10.5,5
0.27,0.32,6.8,0.047,47,193,0.9938,11.4,6
0.27,0.34,10.5,0.043,49,228,0.9974,10.4,6
0.49,0.22,2,0.047,146.5,307.5,0.9924,11,3
0.71,0.23,6.2,0.042,15,93,0.9948,10.1,6
0.47,0.65,8.3,0.083,27,182,0.9964,9.2,5
0.34,0.33,9.7,0.036,46,172,0.9966,10.2,5
0.27,0.34,10.5,0.043,49,228,0.9974,10.4,6
0.13,0.27,4.6,0.08,34,172,0.9938,11.1,7
0.16,0.35,1.2,0.031,27,84,0.9928,9.9,5
0.31,0.32,7.6,0.052,35,143,0.9959,9,5
0.36,0.57,15,0.052,35,256,1.0001,8.6,5
0.36,0.57,15,0.052,35,256,1.0001,8.6,5
0.25,0.44,11.6,0.041,48,195,0.9968,9.5,5
0.45,0.42,1.1,0.051,61,197,0.9932,9,5
0.26,0.3,7.8,0.049,39,152,0.9954,10,6
0.22,0.32,12,0.066,57,158,0.9992,9,6
0.45,0.42,1.1,0.051,61,197,0.9932,9,5
0.31,0.44,6.7,0.054,29,160,0.9952,9.6,5
0.31,0.36,8.2,0.028,29,142,0.9925,13,7
0.25,0.13,17.2,0.036,49,219,0.9996,9.7,5
0.12,0.32,7.2,0.058,22,89,0.9966,9.2,6
0.32,0.55,16.6,0.056,53,238,1.0017,8.7,6
0.17,0.31,1,0.024,13,91,0.993,10.1,5
0.21,0.47,1.3,0.039,21,123,0.9959,9.5,5
0.21,0.48,1.4,0.041,11,99,0.9958,9.9,5
0.31,0.42,6.9,0.046,50,173,0.9958,9,5
0.27,0.28,13.3,0.076,50,163,0.9979,8.6,6
0.23,0.35,9.2,0.044,53,186,0.997,9.5,7
0.2,0.31,1.4,0.047,41,142,0.9934,10.1,6
0.41,0.3,3.2,0.03,49,164,0.9927,11.7,7
0.49,0.43,2.5,0.036,32,116,0.9944,10.7,6
0.41,0.3,3.2,0.03,49,164,0.9927,11.7,7
0.2,0.26,4.5,0.086,37,133,0.9963,9.2,5
0.26,0.26,18.35,0.084,33,139,1.0011,8.8,5
0.26,0.26,18.35,0.084,33,139,1.0011,8.8,5
0.28,0.37,7,0.057,35,208,0.9973,10.2,5
0.2,0.27,6.3,0.048,30,143,0.9966,9.1,6
0.33,0.26,1.2,0.044,23,103,0.9932,10.5,6
0.38,0.5,12.8,0.042,57,184,0.9984,9,6
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.19,0.58,16.65,0.049,48,181,1.0006,9.1,6
0.16,0.41,1.9,0.047,27,151,0.9937,10.1,6
0.22,0.28,7.7,0.043,57,176,0.9954,10,5
0.33,0.3,3.3,0.034,30,102,0.9912,12.3,7
0.43,0.27,1.1,0.054,5,110,0.9939,9.1,4
0.2,0.3,14.2,0.056,53,212.5,0.999,8.9,8
0.3,0.22,5.25,0.053,33,180,0.9926,11.6,6
0.28,0.33,14.6,0.043,47,168,0.9994,8.8,6
0.28,0.33,14.6,0.043,47,168,0.9994,8.8,6
0.2,0.38,11.8,0.055,51,170,1.0004,8.9,6
0.18,0.31,17.3,0.055,32,197,1.0002,9,6
0.31,0.08,1.3,0.038,58,147,0.9922,10,5
0.3,0.22,5.25,0.053,33,180,0.9926,11.6,6
0.26,0.31,2.4,0.043,58,178,0.9941,10.6,6
0.28,0.33,14.6,0.043,47,168,0.9994,8.8,6
0.2,0.38,11.8,0.055,51,170,1.0004,8.9,6
0.18,0.31,1.5,0.038,16,84,0.9924,10.1,6
0.15,0.39,1.8,0.043,21,159,0.9948,10,5
0.4,0.33,7.7,0.034,27,98,0.9935,12.2,7
0.25,0.56,2,0.035,20,95,0.9918,11,6
0.15,0.39,1.8,0.043,21,159,0.9948,10,5
0.18,0.46,1.4,0.064,37,160,0.9924,11.1,5
0.32,0.22,16.7,0.046,38,133,0.9979,10.4,6
0.55,0.3,8.1,0.026,14,71,0.993,11.8,5
0.19,0.39,8,0.028,22,84,0.994,10.8,6
0.2,0.34,2.1,0.049,12,136,0.9922,11.6,7
0.32,0.22,16.7,0.046,38,133,0.9979,10.4,6
0.26,0.34,6.4,0.05,36,163,0.9937,11.5,6
0.21,0.28,1.5,0.051,46,142,0.9928,10.1,6
0.21,0.28,1.5,0.051,46,142,0.9928,10.1,6
0.26,0.4,1.7,0.179,5,60,0.9925,10.1,5
0.32,0.15,8.1,0.046,51,180,0.9958,8.9,5
0.34,0.39,7.6,0.04,45,215,0.9965,9.2,6
0.42,0.41,2.3,0.034,22,145,0.9951,11,6
0.29,0.26,6.5,0.042,32,160,0.9944,10.7,5
0.25,0.2,1.4,0.024,29,101,0.9916,10.8,6
0.23,0.33,12.7,0.049,50,183,0.9987,9.8,5
0.35,0.36,1.6,0.038,11,124,0.9928,11,5
0.2,0.28,1.1,0.018,18,72,0.9926,10.4,5
0.29,0.26,6.5,0.042,32,160,0.9944,10.7,5
0.14,0.27,4.6,0.029,22,104,0.9949,9,5
0.24,0.35,0.6,0.042,11,71,0.9926,10.6,5
0.3,0.45,10.6,0.032,56,212,0.997,9.5,6
0.14,0.27,4.6,0.029,22,104,0.9949,9,5
0.13,0.27,4.8,0.028,22,104,0.9948,9.2,6
0.18,0.34,2.7,0.03,30,107,0.992,11,6
0.385,0.04,12.6,0.034,22,115,0.9964,9.9,6
0.24,0.35,0.6,0.042,11,71,0.9926,10.6,5
0.33,0.43,9.2,0.046,22,126,0.9982,9.3,5
0.34,0.44,6.6,0.052,28,156,0.9955,9.6,5
0.33,0.44,7,0.05,29,155,0.9955,9.5,5
0.28,0.24,8.45,0.031,32,172,0.9958,9.7,7
0.23,0.38,11.1,0.034,15,123,0.9997,9.7,3
0.21,0.27,18.15,0.042,41,146,1.0001,8.7,5
0.21,0.27,18.15,0.042,41,146,1.0001,8.7,5
0.485,0.29,4.1,0.026,19,101,0.9918,12.4,5
0.485,0.29,4.1,0.026,19,101,0.9918,12.4,5
0.29,0.29,4.6,0.029,27,155,0.9931,10.6,6
0.21,0.27,18.15,0.042,41,146,1.0001,8.7,5
0.31,0.31,4.9,0.031,20,151,0.9926,12,7
0.46,0.46,1.4,0.04,31,169,0.9932,8.8,5
0.23,0.33,1.8,0.036,23,96,0.9925,10.8,6
0.22,0.28,4.9,0.042,51,180,0.9952,9.5,6
0.27,0.28,1.8,0.05,21,127,0.9934,9.9,5
0.28,0.29,4.3,0.051,25,142,0.9939,10.2,5
0.34,0.3,1.3,0.057,25,173,0.9948,9.1,6
0.23,0.27,5.6,0.043,43,164,0.9953,9.5,5
0.27,0.29,5.3,0.045,57,189,0.9953,9.8,5
0.18,0.36,2.4,0.049,38,123,0.996,10.3,5
0.36,0.32,1.6,0.039,10,124,0.9948,9.6,5
0.22,0.39,2.1,0.055,39,198,0.9951,10.2,6
0.45,0.32,7.1,0.044,17,117,0.9962,10.4,4
0.36,0.32,1.6,0.039,10,124,0.9948,9.6,5
0.42,0.14,10.7,0.046,18,95,0.9959,10.7,5
0.33,0.32,11.1,0.036,25,119,0.9962,10.5,6
0.17,0.32,1.6,0.053,47,150,0.9948,9.6,6
0.17,0.32,1.6,0.053,47,150,0.9948,9.6,6
0.17,0.31,1.5,0.049,48,153,0.9942,9.4,6
0.17,0.32,1.6,0.053,47,150,0.9948,9.6,6
0.24,0.19,7.7,0.045,53,176,0.9958,9.5,5
0.22,0.53,15.1,0.052,22,136,0.9986,9.4,5
0.22,0.53,15.1,0.052,22,136,0.9986,9.4,5
0.28,0.4,8.9,0.048,33,146,0.9988,9.3,5
0.32,0.34,6,0.05,5,129,0.9953,9.1,5
0.16,0.3,6.7,0.043,43,153,0.9951,10.6,5
0.24,0.33,12.3,0.046,31,145,0.9983,9.5,5
0.28,0.35,2.3,0.042,16,85,0.9906,12.4,6
0.34,0.3,11.1,0.047,28,237,0.9981,8.7,5
0.27,0.15,1.5,0.056,35,128,0.9936,8.8,5
0.16,0.3,6.7,0.043,43,153,0.9951,10.6,5
0.32,0.34,6,0.05,5,129,0.9953,9.1,5
0.24,0.47,15.2,0.057,40,234,1.0005,9,5
0.24,0.33,10.2,0.048,46,141,0.9972,10.3,6
0.18,0.36,13.1,0.056,72,163,1,9.1,6
0.22,0.25,17.1,0.05,44,138,1.0001,8.8,5
0.23,0.31,10.7,0.038,59,186,0.9969,9.5,6
0.22,0.25,17.1,0.05,44,138,1.0001,8.8,5
0.26,0.32,1.2,0.04,26,117,0.993,10.8,5
0.2,0.32,3.1,0.041,18,126,0.9914,12,6
0.16,0.36,1.5,0.033,14,122,0.9941,10.3,4
0.25,0.27,10.7,0.076,47,154,0.9967,9,5
0.39,0.28,4.9,0.035,36,109,0.9918,12.2,7
0.25,0.27,10.7,0.076,47,154,0.9967,9,5
0.39,0.28,4.9,0.035,36,109,0.9918,12.2,7
0.28,0.22,12.15,0.048,42,163,0.9957,10.1,5
0.43,0.28,12,0.056,23,174,0.9986,9.3,5
0.33,0.38,1.7,0.062,50.5,344,0.9958,9.5,5
0.5,0.05,2.6,0.054,36,146,0.9948,9.2,6
0.35,0.24,1.9,0.04,21,144,0.9923,11,5
0.22,0.32,16.9,0.056,49,158,0.9998,9.6,6
0.22,0.32,16.9,0.056,49,158,0.9998,9.6,6
0.24,0.27,2.1,0.03,22,162,0.9914,11.9,6
0.26,0.32,7,0.041,38,118,0.9939,10.8,6
0.18,0.36,5.9,0.058,31,132,0.995,10.9,6
0.33,0.64,13.2,0.056,12,105,0.9972,9.2,5
0.28,0.35,15.3,0.056,31,117,0.9998,9.6,5
0.26,0.52,13.2,0.047,64,179,0.9982,9,5
0.14,0.32,2.7,0.037,18,89,0.9924,11.5,7
0.21,0.32,10.65,0.053,53,145,0.9972,10.2,6
0.115,0.3,6.8,0.056,26,105,0.9954,9.6,6
0.29,0.2,15.6,0.04,20,142,0.9962,10.6,5
0.33,0.64,13.2,0.056,12,105,0.9972,9.2,5
0.24,0.34,3,0.035,36,102,0.9905,12.2,6
0.28,0.35,15.3,0.056,31,117,0.9998,9.6,5
0.22,0.33,2.1,0.052,15,76,0.993,10.6,6
0.18,0.39,1.9,0.054,23,91,0.9941,10.3,6
0.93,0.45,8.6,0.052,34,187,0.9994,10.2,4
0.29,0.33,8.75,0.035,33,181,0.9962,10.7,5
0.18,0.27,1.3,0.048,26,105,0.994,10.6,6
0.24,0.37,1.8,0.031,6,61,0.9897,12.2,4
0.33,0.38,9.7,0.04,29,124,0.9954,11,6
0.37,0.28,4,0.03,29,79,0.99,12.4,7
0.49,0.23,2.4,0.087,19,115,0.9948,9.4,6
0.25,0.27,4.7,0.031,31,92,0.9922,12,6
0.35,0.31,1.8,0.069,15,162,0.9944,9.4,5
0.19,0.3,12.8,0.053,48.5,229,0.9986,9.1,7
0.19,0.3,12.8,0.053,48.5,229,0.9986,9.1,7
0.32,0.13,7.8,0.042,11,117,0.996,9.2,5
0.32,0.58,16.75,0.05,43,163,0.9999,9.2,5
0.19,0.3,12.8,0.053,48.5,229,0.9986,9.1,7
0.32,0.13,7.8,0.042,11,117,0.996,9.2,5
0.32,0.58,16.75,0.05,43,163,0.9999,9.2,5
0.36,0.43,10.1,0.053,29,146,0.9982,9.5,6
0.29,0.25,3.8,0.044,30,114,0.992,11,6
0.32,0.27,10.9,0.041,37,146,0.9963,10,5
0.33,0.24,9.8,0.041,29,109,0.9956,10.1,6
0.18,0.31,11.7,0.051,24,94,0.997,9.5,7
0.39,0.81,1.2,0.217,14,74,0.9936,9.5,5
0.25,0.18,1.4,0.056,13,137,0.9935,9.5,5
0.18,0.32,9.6,0.052,24,90,0.9963,9.4,6
0.18,0.32,12.2,0.048,36,125,0.9967,9.4,6
0.23,0.35,10.7,0.037,34,145,0.9981,9.7,5
0.28,0.41,4.9,0.058,31,153,0.9966,9.7,6
0.18,0.32,12.2,0.048,36,125,0.9967,9.4,6
0.18,0.32,9.6,0.052,24,90,0.9963,9.4,6
0.22,0.26,1.1,0.037,20,71,0.9902,11.7,6
0.18,0.29,1,0.036,26,101,0.99,11.7,6
0.26,0.19,8.2,0.051,53,187,0.996,9.7,5
0.25,0.42,11.3,0.049,77,231,0.9966,9.5,6
0.24,0.23,7.3,0.069,31,157,0.9962,9.1,5
0.28,0.27,2.3,0.051,23,147,0.994,10.3,6
0.27,0.33,2,0.059,19,175,0.9944,9.9,5
0.39,0.34,10,0.056,35,178,0.9974,10.2,5
0.24,0.33,15.75,0.035,16,132,0.996,12.1,6
0.23,0.24,3.9,0.045,36,138,0.9922,11.3,7
0.32,0.35,1.5,0.039,24,125,0.9918,12.2,6
0.24,0.26,1.6,0.058,53,150,0.9936,9.9,7
0.21,0.33,1.4,0.056,35,136,0.9938,10.3,6
0.17,0.29,1.4,0.047,23,107,0.9939,10.4,6
0.28,0.34,13.8,0.041,32,161,0.9981,9.9,6
0.3,0.37,1.3,0.051,16,96,0.9941,10,5
0.25,0.38,3.8,0.051,18,129,0.9928,11.5,6
0.22,0.32,1.6,0.045,40,120,0.9914,10.5,6
0.23,0.26,15.3,0.067,32,166,0.9986,9.2,4
0.28,0.58,12.1,0.046,60,177,0.9983,8.9,5
0.27,0.61,12,0.046,64,179,0.9982,8.9,5
0.2,0.36,11.6,0.042,45,124,0.997,9.5,7
0.25,0.35,9.2,0.034,42,150,0.9947,11.5,6
0.2,0.31,2.8,0.054,16,89,0.99416,9.5,6
0.23,0.38,6.1,0.067,20,90,0.99496,9.7,5
0.44,0.42,8.5,0.048,10,147,0.9974,9.5,6
0.28,0.19,7.8,0.04,48,184,0.99579,9.4,5
0.15,0.29,6.2,0.046,39,151,0.99471,10.6,6
0.44,0.42,8.5,0.048,10,147,0.9974,9.5,6
0.28,0.19,7.8,0.04,48,184,0.99579,9.4,5
0.23,0.42,11.2,0.047,52,171,0.99758,10.4,5
0.36,0.14,11.6,0.043,35,228,0.9977,8.9,5
0.2,0.29,1.7,0.047,16,100,0.99243,10.6,6
0.18,0.29,1.4,0.042,34,101,0.99384,10.5,7
0.21,0.21,1.6,0.046,35,133,0.99466,10,6
0.39,0.54,1.4,0.157,34,132,0.99449,9,6
0.48,0.28,10.4,0.049,57,205,0.99748,9.3,5
0.39,0.54,1.4,0.157,34,132,0.99449,9,6
0.48,0.28,10.4,0.049,57,205,0.99748,9.3,5
0.36,0.31,4.1,0.061,20,134,0.99475,9,6
0.3,0.21,15.7,0.056,49,159,0.99827,9,5
0.19,0.43,10.9,0.045,53,154,0.99752,10.4,6
0.42,0.32,6.5,0.027,20,167,0.99479,10.6,5
0.19,0.43,10.9,0.045,53,154,0.99752,10.4,6
0.19,0.56,17.3,0.055,47,169,1.00047,9.3,6
0.19,0.25,1.4,0.051,41,107,0.99382,10.5,7
0.25,0.26,13.5,0.06,50,156,0.99784,9.9,6
0.25,0.28,8.5,0.035,28,108,0.99486,10.4,6
0.19,0.25,1.4,0.051,41,107,0.99382,10.5,7
0.31,0.18,7.7,0.043,57,200,0.99566,9.4,6
0.4,0.52,1.3,0.148,45,149,0.99468,8.7,5
0.16,0.25,1.3,0.047,20,77,0.9933,10.2,6
0.16,0.22,1.3,0.046,18,66,0.99307,10.3,6
0.33,0.26,15.6,0.049,67,210,0.99907,9.5,5
0.33,0.26,15.6,0.049,67,210,0.99907,9.5,5
0.33,0.26,15.6,0.049,67,210,0.99907,9.5,5
0.43,0.23,5,0.157,49,145,0.99471,9.4,5
0.33,0.26,15.6,0.049,67,210,0.99907,9.5,5
0.18,0.24,1.4,0.047,21,106,0.99383,10.5,7
0.32,0.31,6.4,0.031,38,115,0.99235,12.2,7
0.42,0.19,6.9,0.041,62,150,0.99508,10,6
0.28,0.31,7.2,0.04,47,168,0.9946,10.6,7
0.29,0.42,10.6,0.042,66,202,0.99674,9.5,6
0.41,0.18,3.5,0.027,23,109,0.99018,12.8,8
0.32,0.31,6.4,0.031,38,115,0.99235,12.2,7
0.22,0.28,12.05,0.058,25,125,0.99856,9.4,5
0.44,0.18,11.8,0.051,26,126,0.9975,9.1,5
0.42,0.2,1.4,0.06,15,168,0.9944,9.4,6
0.36,0.3,5,0.04,40,143,0.99173,12.2,7
0.295,0.2,2.2,0.049,18,134,0.99378,10,5
0.21,0.55,14.6,0.053,34,159,0.99805,9.2,5
0.28,0.34,1.3,0.035,11,126,0.99232,9.8,6
0.21,0.55,14.6,0.053,34,159,0.99805,9.2,5
0.22,0.26,2.8,0.036,44,132,0.99078,12,7
0.28,0.3,1.6,0.045,36,139,0.99534,9.3,5
0.32,0.3,3.3,0.029,15,80,0.99061,12.6,7
0.19,0.33,6.3,0.032,42,127,0.99182,12.2,6
0.42,0.38,8.1,0.061,49,144,0.9966,11,6
0.24,0.62,10.6,0.045,51,153,0.99779,8.8,5
0.26,0.59,11.8,0.046,58,164,0.99814,8.9,4
0.4,0.32,1.7,0.035,39,84,0.99096,12.7,7
0.2,0.3,8.1,0.037,42,130,0.99379,11.8,6
0.445,0,1.4,0.053,11,178,0.99426,10.2,5
0.2,0.34,1.8,0.041,42,148,0.99335,11.1,6
0.35,0.17,1.1,0.049,7,119,0.99297,9.7,6
0.35,0.55,11.95,0.038,22,111,0.99687,9.7,5
0.35,0.55,11.95,0.038,22,111,0.99687,9.7,5
0.3,0.4,2.2,0.054,29,175,0.99445,9.8,5
0.3,0.32,1.4,0.032,31,161,0.99154,10.5,5
0.4,0.32,10.6,0.049,38,209,0.9981,9.3,6
0.37,0.28,1.9,0.024,64,106,0.98993,12.6,8
0.27,0.34,10.2,0.048,50,118,0.99716,10.3,5
0.26,0.22,4.8,0.041,110,198,0.99437,10.6,5
0.34,0.3,8.4,0.051,40,167,0.99756,9.7,5
0.23,0.26,7.2,0.041,21,90,0.99509,9.5,6
0.29,0.29,4.8,0.06,27,156,0.99572,10.3,6
0.4,0.27,4.5,0.034,27,95,0.99175,12.3,8
