@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6
6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,6
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4,5
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6
6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,7
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,5
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6
7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,7
5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5
8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,6
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5
8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,6
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,6
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6
5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,6
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,5
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6
9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6
6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,6
8.1,0.31,0.36,8.2,0.028,29,142,0.9925,3.01,0.34,13,7
5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6
7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5
6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,5
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6
6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,6
9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7
6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,5
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3,0.6,11.3,6
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6
5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4
6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
